winner,loser,white_pieces,black_pieces,moves
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"a2a3, e7e5, b2b3, d7d5, f2f4, e5f4, d2d3, d8h4, g2g3, f4g3, f1h3, g3g2, e1d2, g2h1q, h3c8, h4h6, d2c3, h6b6, d1e1, b6a5, c3b2, a5e1, h2h4, e1g1, c1g5, d5d4, g5h6, g8h6, c2c3, g1c1, b2a2, c1c2"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"d2d4, g8f6, c1e3, d7d5, b1d2, c7c5, h2h3, b8c6, d2b1, d8b6, c2c3, b6b2, g2g4, b2a1, g4g5, f6e4, d1b3, c5d4, b3c4, a1b1, e3c1, b1c1"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"b1a3, e7e5, g2g4, b8c6, e2e4, d7d5, a3b1, g8f6, d2d4, e5d4, e1d2, f6e4, d2d3, e4f2, d3d2, f2e4, d2e2, c8g4, e2e1, d8h4"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"g2g4, d7d5, h2h4, c8g4, f1h3, g4h3, h4h5, h3f5, g1h3, b8c6, e2e4, d5e4, h3g5, g8f6, e1g1, h7h6, d1e2, c6d4, g1h2, h6g5, b1a3, d4e2, b2b3, f6h5, f2f3, h5f4"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"g2g3, e7e5, f1h3, d7d5, h3g4, c8g4, e2e3, g4d1, f2f4, d5d4, b2b4, d8d5, e1d1, d5h1, e3e4, h1g1, d1e2, g1g2, e2d1, g2f1"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"c2c3, e7e5, b2b4, d7d5, d1c2, f8d6, f2f3, g8f6, h2h3, f6h5, c1a3, d8h4, e1d1, h4f2, d2d4, f2f1, d1d2, h5g3, f3f4, e5d4, c2b2, d6f4, e2e3, d4e3, d2c2, c8f5, c2b3, f1d1, b2c2, d1c2"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"b1a3, e7e5, b2b4, f8b4, e2e3, b8c6, g1f3, e5e4, c1b2, e4f3, f1a6, b7a6, c2c4, f3g2, b2d4, g2h1q, e1e2, c6d4, e2d3, h1g2, f2f4, d8e7, d1e1, g2e4"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"g1f3, d7d5, e2e3, c7c5, f3h4, e7e5, d1e2, d8h4, h2h3, b8c6, c2c4, d5c4, e2d1, c8e6, d1b3, c4b3, b1a3, b3a2, a3c2, h4e4, c2d4, c6d4, b2b4, d4c2, e1e2, c2a1, h1g1, e6c4, e2e1, a1c2, e1d1, a2a1q, g2g3, c2d4, d1e1, a1c1"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"b2b3, e7e5, b1a3, d7d5, g1f3, e5e4, f3g1, c7c5, a3b5, g8f6, b3b4, a7a6, b5c7, d8c7, g2g3, c5b4, f2f3, f8d6, a1b1, d6g3, h2g3, c7g3"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"d2d3, d7d5, d3d4, c7c5, b1a3, c5d4, a3b5, d8a5, c2c3, a5b5, c1e3, d4e3, d1b3, e3f2, e1f2, b5c5, f2g3, g8f6, b3d5, f6d5, e2e4, c5e3, g3h4, e3h6, h4g3, h6f4"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"d2d4, d7d5, c1f4, c7c5, f4c7, d8c7, g1h3, b8c6, f2f3, c5d4, c2c3, d4c3, e2e4, c3b2, g2g4, b2a1q, h3g1, c7a5, d1d2, a1b1, e1e2, c6d4, e2e3, d4c2, e3d3, a5b5, d3c3, b1b2"
Black,White,<AlphaPawn.AlphaPawn object at 0x000002005A863D00>,Stockfish,"f2f4, d7d5, b2b4, c8g4, b1c3, e7e6, c1a3, a7a5, f4f5, a5b4, d2d3, a8a3, e1f2, a3c3, d3d4, b8c6, d1c1, c6d4, e2e3, d4f5, f1b5, c7c6, h2h4, c6b5, g1f3, d8c7, f2g1, f8c5, g2g3, c7g3, g1f1, g3f3, f1g1, c3e3, c1e1, e3e1, g1h2, f3h1"
